,name,type,price,expert_score,user_rating,distillery_loc,description,age,abv,style,cask,review,smoky,peaty,spicy,herbal,oily,full-bodied,rich,sweet,briny,salty,vanilla,tart,fruity,floral
2453,"
Kilchoman Port Cask Matured (2018 Edition)
",Peated Single Malt,"['cost-4', 'spirit-cost']","
80

",3.69,"
Kilchoman // Islay, Scotland
","This is the second release for Kilchoman of a single malt aged entirely in port casks with the first coming to the market in 2014. Port Cask Matured is a vatting of 30 ruby port hogsheads filled in 2014. The malted barley used was peated at 50 ppm. Bottled at 100 proof. There are 10,000 bottles available worldwide with European markets getting them first beginning July 2018. ",NAS,50.0,100% malted barley from a single distillery. Dried with peat.,ex-ruby port hogsheads,"""Port casks have a knack for heavily influencing whisky. This new edition from Kilchoman can certainly back up that statement. The aroma is loaded with tart red fruit and cherry syrup. Wood smoke and peat barely manage to elbow their way in. The palate is sweet and savory…but mostly sweet. Cherry juice, peat smoke, sugar cookies, barrel char, and port-soaked fruits. This isn’t high-proof port but it’s not terribly far from it either.""",30,30,20,0,25,50,50,55,0,0,15,35,60,0
2454,"
Old Elk Blended Straight Bourbon
",Bourbon,"['cost-2', 'spirit-cost']","
80

",3.63,"
Old Elk // (bottled in) Colorado, USA
","Old Elk Bourbon is created by master distiller Greg Metze, formerly of MGP, for Old Elk Distillery in Fort Collins, Colorado. Two unique aspects of its production are a much higher proportion of malted barley than is typical in a bourbon (along with corn and rye), as well as a slower proofing process for bringing the barrel-strength whiskey down to its final proof for bottling. It is bottled at 44% abv.",NAS,44.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.
","new, charred American oak","""""Smooth"" is a frequently used descriptor for whiskey, and it's particularly apt here: this is a fairly light bourbon, and there's nothing harsh about it. The high-proportion of a malted barley gives it a uniquely cereal character, and on the palate the whiskey brings flavors of vanilla, cherry, and a mildly medicinal note. It's overall character is fairly muted, however, and one wishes for there to be more intensity or more complexity to justify its price.""",15,15,35,30,20,30,35,60,5,5,50,10,20,10
2455,"
WhistlePig FarmStock Rye Crop No. 002
",Rye,"['cost-3', 'spirit-cost']","
80

",3.74,"
WhistlePig // USA
","Available beginning May 2018, Crop No. 002 is the second release in the FarmStock estate release. Each year, it will include a growing percentage of their own ""Triple Terroir™ whiskey"" utilizing rye grain, water, and oak locally sourced from their grain-to-glass Vermont farm distillery. For Crop No. 002, that straight rye whiskey comprises 32% of the blend up from 20% in the first batch. The remainder includes a 6 year-old rye distilled in Indiana (MGP) which is 45% of the blend and a 10 year-old rye distilled in Canada (Alberta Distillers) which is 23% of the blend. The three whiskeys in the blend are clearly presented on the back of the bottle in the spirit of transparency. Bottled at 43% ABV.",NAS,43.0,"Mash bill at least 51% rye; aged in new, charred oak barrels.
","Vermont oak & American oak, all char #3","""The older portions of rye act a bit like makeup. Delicate vanilla, fruit leathers, bananas foster, and bubble gum make for a strange bouquet. Although the palate shows a little more maturity with dry spices and clarified butter, its younger side rears its head with bitter grains and herbs. It seems difficult to keep these whiskeys in step with each other.""",0,0,15,30,20,20,20,15,0,0,15,20,20,0
2456,"
Ballyhoo Irish Whiskey
",Single Grain,"['cost-2', 'spirit-cost']","
80

",3.15,"
Ballyhoo // Ireland
","This is a grain Irish whiskey release sourced by The Connacht Whiskey Co. while they wait for their whiskey to age. With a mash bill of 93% corn and 7% malted barley, the whiskey ages initially in ex-bourbon barrels. Then the whiskey transfers to port casks for finishing. Available in the US beginning March 2018.",NAS,43.0,"Distilled from a grain or mixture of grains, usually corn, wheat, or barley from one distillery, if Scotch or Irish must be aged for at least three years in barrels.",ex-bourbon & ex-port,"""Looking for something to whet the palate? Here it is. This is gentle from nose to finish. Scents of toasted grain, banana, vanilla, and a wisp of smoke. The palate is easy to understand with lots of vanilla, dry smoke, and banana taffy as the finish peters out. This would be a good aperitif, though please serve neat as it is already light enough.""",15,15,15,10,15,25,20,20,0,0,50,10,25,25
2457,"
Bowmore No. 1 
",Peated Single Malt,"['cost-2', 'spirit-cost']","
80

",3.31,"
Bowmore // Islay, Scotland
","First released February 2017, Bowmore's No. 1 is a no-age statement release said to replace the brand's Small Batch whisky in the coming months. No. 1 gets its name from the distillery's legendary No. 1 vaults, the world's oldest Scotch maturation warehouse. It is aged in first-fill bourbon and bottled at 40% ABV. Note: This product is not available in the US. ",NAS,40.0,100% malted barley from a single distillery. Dried with peat.,first-fill bourbon barrels,"""Rich aromas of lemon and honey notes but not much smoke. A very creamy mouthfeel reminiscent of miniature lemon tarts and the smoke/peat does not truly reveal itself until a grassy and slightly citric short finish. Not an overly complicated dram, but great value for the price.""",20,20,0,0,0,0,0,20,0,0,20,20,0,0
2458,"
Spey Trutina
",Single Malt,"['cost-2', 'spirit-cost']","
80

",3.75,"
Spey // Speyside, Scotland
","""Trutina"" means ""balance"" in Latin and comes from the confidential Speyside Distillery. 18 000 bottles of this no-age expression were released as part of a two-bottle release with its sister bottling Spey Fumare. Not available in the US. ",NAS,46.0,"Distilled in pot stills from 100% malted barley, produced at one distillery, aged in barrels; if Scotch or Irish, must be aged for at least three years.",ex-bourbon,"""The nose is rather fresh, light and rounded with chocolate, floral and wine-y notes coming through. Aromas of creamy rich vanilla and fruity notes of apricot marmalade with banana cheesecake develop on the mouth. The elegant finish brings back the initial chocolate-y appeal.""",0,0,15,20,30,40,40,65,0,0,70,60,70,50
2459,"
The Epicurean Blended Malt
",Blended Malt,"['cost-3', 'spirit-cost']","
80

",3.27,"
The Epicurean // Lowlands, Scotland
","Part of the Remarkably Regional Malt series (along with other brands such as Scallywag or Timorous Beastie), The Epicurean is a Lowland blended malt whisky from the excellent Douglas Laing. Created from a 50 year old recipe carefully guarded by the Laing family, The Epicurean is not colored or chill-filtered.  It is bottled at 46.2% ABV. Note: currently not available in the U.S.",NAS,43.0,"Comprised of malted whisk(e)y from two or more distilleries; aged in barrels; if Scotch or Irish, must be aged for at least three years.",,"""The nose is fresh and delightful with fruits such as pears and apples, balanced with cinnamon and peppery hints. Vanilla comes afterwards, along with a touch of smoke and yummy milk chocolate.
The vanilla keeps on going on the palate, taking over the fruits, or rather transforming them in darker ones (blackcurrant and blackberries). Malt and cereals in general take the third step of the podium. The finish is long and fresh.""",10,10,40,25,10,20,30,50,0,0,40,30,60,15
2460,"
Long Road Distillers Rye Whisky
",Rye,"['cost-2', 'spirit-cost']","
80

",3.5,"
Long Road Distillers // Michigan, USA
","Long Road Distillers is based in Michigan making a variety of products including vodka, gin, and a variety of whiskies none of which is sourced. Their rye whisky is distilled using Michigan rye and malted barley; it's bottled at 93 proof. The product is released in batches with this review coming from Batch #1.",6 months,46.5,"Mash bill at least 51% rye; aged in new, charred oak barrels.
","new, charred American oak","""Who needs Luxardo cherries when you can just huff this rye? Thick, dark syrupy fruit mingles with peppermint notes before fading to pepper. Bold, intense spices come through like a bundle of cinnamon sticks right on your tongue. It tastes the way fragrant holiday decorations smell--like those spicy bunches of woody pinecones and sticks were distilled down into a bottle.""",15,15,95,20,25,65,40,70,0,10,50,0,65,10
2461,"
Long Road Distillers Corn Whisky
",Corn,"['cost-2', 'spirit-cost']","
80

",2.97,"
Long Road Distillers // Michigan, USA
","This corn whiskey from Long Road is a three grain blend of Michigan corn, wheat and malted barley. Bottled at 90 proof with sourced ingredients--not spirits. ",NAS,45.0,"Mash bill at least 80% corn, no requirement to age, but if aged, must be in either new un-charred oak barrels or used oak barrels.",,"""There's a distinctive beeswax scent to this white whisky that gives way to a gentle vanilla and sandalwood undertone almost like a scented cosmetic product. The curiosities don't stop there -- the flavor is unsurprisingly sweet but fades quickly into dusty grains, char, and raw peanut butter. This was much more savory than expected in the loveliest of ways.""",30,30,50,40,40,60,30,70,0,10,75,15,25,45
2462,"
Puni Alba Italian Malt Whisky
",Single Malt,"['cost-3', 'spirit-cost']","
80

",3.4,"
Puni // Italy
","Puni distillery produces this first Italian whisky in the ""Highlands of Italy."" Alba, the Gaelic name for Scotland and the Italian word for ""sunrise,"", is one in a series of three Puni whiskies. It combines regional barley malt, wheat, rye, and Alpine spring water before the mixture is aged three years in barrels from the Isle of Lay and barrels of Marsala from Sicily. Parts of the whisky are aged in old World War II military bunkers. Puni Alba is bottled at 43% ABV. Note:  Not available in the US.",NAS,43.0,"Distilled in pot stills from 100% malted barley, produced at one distillery, aged in barrels; if Scotch or Irish, must be aged for at least three years.",ex-Marsala wine barrels,"""The nose is quite surprising, with soft peat, malty notes and a winey profile coming from its maturation, showing aromas of summer berries. Although you can say it is a young whisky, this expression is more easy-drinking than the other 3-year-old release from Puni (Nova). Slightly smoky, mineral & earthy with licorice, pepper and roasted walnuts and dark berries.

""",60,60,60,65,20,10,30,30,20,20,50,55,70,45
2463,"
County Seat Spirits Hidden Copper Bourbon
",Bourbon,"['cost-2', 'spirit-cost']","
80

",3.5,"
Pennsylvania, USA
","County Seat Spirits is based in Allentown, Pennsylvania. Pennsylvanian whiskey often uses the rye they grow there, but there’s none to be found here. This recipe consists of Pennsylvania corn, Pennsylvania wheat, and malted barley. The distillate is aged for 1 year in 15-gallon new, charred white oak barrels then bottled at 90 proof.",NAS,45.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.
","new, charred white oak","""This is a kid in their father’s suit. The aroma expresses mostly the wood, fresh wood shavings, coconut, some char, and underneath there is the smell of raw grain. The palate is fairly sweet right out of the gate, but the mid palate shifts to heavily charred wood. The finish smolders with lots of dark roasted grains. The wood certainly makes this seem older but this whiskey will be a lot better when it grows some chest hair.""",45,45,15,0,0,35,60,55,0,0,25,15,20,0
2464,"
Lost Distillery Jericho Christmas Pudding
",Blended Malt,"['cost-3', 'spirit-cost']","
80

",3.38,"
Lost Distillery Co // Scotland
","A sad part of Scotch history is that many distilleries who were producing great whisky had to be shut down for economic reasons. Lost Distillery researches these ""ghost"" brands and recreates the whisky using a combination of documented evidence, knowledge of the distillery's former environment, and advanced whisky production knowledge as a guide. This seasonal release is a variation of the popular Jericho malt, which is part of the Archivist collection.",NAS,44.8,"Comprised of malted whisk(e)y from two or more distilleries; aged in barrels; if Scotch or Irish, must be aged for at least three years.",ex-sherry,"""This nose definitely smells a lot like Christmas, showing notes of plum brandy, brown sugar, maple syrup, star anise, dates, figs and gingerbread. On the palate, the name of this dram really speaks for itself, delivering masses of dried fruits, Christmas spices, Rum Raisin ice cream, marzipan and candied oranges. The finish is medium and rather warm with cinnamon and toasted walnuts. """,0,0,60,10,40,50,50,70,0,0,60,65,70,20
2465,"
White Pike Whiskey
",White,"['cost-2', 'spirit-cost']","
80

",2.0,"
White Pike // New York, USA
","White Pike's color is pearly-clear. The spirit is distilled in a German copper pot-still from New York corn (59%), spelt (28%) and malted barley (13%). It is said to be barrel aged for ""18 minutes."" It is bottled at 40% ABV. Sold in both 375ml and 750ml sized bottles primarily in the New York area.",18 minutes,40.0,"Distilled from a cereal mash bill comprised of any grain(s). Generally unaged except in the US, where it must age at least briefly in oak for an unspecified amount of time. Sometimes sold as ""moonshine"" although that is a misnomer. ",used barrels,"""Despite its low mash bill percentage, malty wheat comes across first on a relatively hot nose that additionally suggests Japanese sake. There's less heat on the palate where corn dominates in accord with its percentage. White Pike might appeal to white lightning aficionados as a sipper, but its highest use is likely as a mixer with citrus and tomato.""",5,5,20,15,15,10,10,15,5,5,0,10,10,30
2466,"
Braunstein Danica Whisky
",Single Malt,"['cost-3', 'spirit-cost']","
80

",3.59,"
Braunstein // Denmark
","Braunstein is a relative newcomer in the world whisky landscape. It is a Danish microdistillery and brewery located in the small town of Køge, not far from Copenhagen. Their production is mostly organic and local. This expression is a travel retail exclusive.",NAS,42.0,"Distilled in pot stills from 100% malted barley, produced at one distillery, aged in barrels; if Scotch or Irish, must be aged for at least three years.",,"""The rich nose is full of white pepper, and woody, floral aromas. Also huge vanilla notes with toffee and some hints of sultanas come through. This rather thick and syrupy nectar flows onto the palate with masses of candied oranges, hot spices, caramel and some dark berries. The finish is warm and slightly grassy.""",0,0,65,60,70,50,70,50,0,0,55,30,55,40
2467,"
Emperial Cinnamoon
",Flavored Whiskey,"['cost-1', 'spirit-cost']","
80

",5.0,"
Four Fights // New York, USA
","Emperial Cinnamoon is a cinnamon flavored, corn whiskey made by infusing the whiskey with raw cinnamon. it is distilled by Four Fights Distilling from 100% corn in Corning, New York. Bottled at 40% ABV. ",NAS,40.0,Whiskey flavored with natural or artificial flavors and labeled with the (pre)dominant flavor(s). Can be made either with or without the addition of sugar. Bottled at 30% ABV or higher.,,"""Unlike most of the cinnamon whiskeys on the market, Emperial Cinnamoon isn't cloyingly sweet. The aroma and taste of cinnamon are unmistakable but not overpowering, with the base spirit contributing a light backing note of fruity unaged whiskey. It's a welcome departure from mass-market cinnamon spirits, which tend to be lower proof and much too sweet. """,20,20,50,30,20,20,25,20,10,0,15,15,20,10
2468,"
Barrell Bourbon Batch 007B
",Bourbon,"['cost-4', 'spirit-cost']","
80

",3.81,"
Barrell Craft Spirits // USA
","Keeping true to their policy of finding unique whiskeys and releasing them at barrel-proof to make sure no two batches are the same, this Tennessee sourced spirit has a mash bill of 70% corn, 25% rye, and 5% malted barley. After being aged for 5 years in a new American white oak barrel with a #4 char, it's bottled and released at 120.2 proof.",5 year,60.1,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.
","new, charred american oak","""With more lemon zest than orange on the nose, this bright whiskey gives way to grain, nougat, and finally something herbal and earthy--the scent of roasting corn on the grill inside the husks. The flavor isn't nearly as hot as expected and though dark at first, molasses sweetness rolls through after a moment. Slight tropical notes like banana come hand-in-hand with toasted nuts, rye spice, and a long, oaky finish.""",15,15,80,35,60,70,90,85,0,10,75,20,70,10
2469,"
Barrell Whiskey Batch 002
",Other Whiskey,"['cost-3', 'spirit-cost']","
80

",3.68,"
Barrell Craft Spirits // USA
","This is the second in their whiskey releases (note:  this doesn't include their bourbon releases) from Barrell Craft Spirits, sourced from Indiana and aged in Kentucky. For this go-round, they placed the whiskey in ex-bourbon casks and finished the job in sherry barrels. This is a corn, rye, and barley mash-bill (without exact ratios provided) and is bottled at it's cask strength of 123.8 proof.","9.5 years, 5 mos",61.9,"A spirit distilled from a mash of grain(s) at less than 95% ABV, bottled at no less than 40% ABV. The product must have characteristics, taste, and aroma generally attributed to whiskey","ex-bourbon, sherry","""Yes, this is high-proof! After the initial ""whoo!"" the alcohol dissipates and then the tell-tale sherry nose can be found. Graham crackers, fruit, and leather with spice and tobacco are what come to mind. The moment this spirit hits your mouth it coats you in a sweetness that reminds of adding honey and brown sugar to your oatmeal. Cereal grain, rye spice, honey and vanilla--it's all here balanced by sherry and heat!""",0,0,55,10,90,95,90,95,0,0,80,0,65,45
2470,"
Johnnie Walker Blenders' Batch Red Rye Finish
",Blended,"['cost-1', 'spirit-cost']","
80

",3.28,"
Johnnie Walker // Scotland
","This new Johnnie Walker expression is said to be a sort of homage to the USA, first matured in first-fill bourbon American white oak barrels and then finished for about 6 months in ex-rye casks. The blend is made from four whiskies including malt from Cardhu and grain from Port Dundas. ",NAS,40.0,Comprised of both single malt(s) and single grain(s) often from many different distilleries; if Scotch or Irish must be aged for at least three years in oak barrels; Irish may include single pot still whiskey in the blend.,"first-fill ex-bourbon, finished in ex-rye casks","""Quite a versatile whisky that can be enjoyed both neat or as a perfect base for cocktails. Fairly easy-drinking, light and sweet with some bourbon-esque hints of vanilla, caramel & honey. Banoffee, rye bread and sweet oak spices come wrap this all up in a pleasant creamy mouthfeel.""",0,0,55,0,10,10,10,80,0,0,75,50,40,10
